listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
28772176,FULL FURNISHED ONE ROOM APARTMENT,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-28772176/original/0abce9ba-a685-466b-846f-0efec0267427.jpeg,25,1173370,Juan,"","",true,18.6848,-68.4557,2,1,1,1.0,false,"TV,Window guards,Wifi,Air conditioning,Ski-in/Ski-out,Kitchen,Hot water,Gym,Outdoor shower,Mosquito net,Bed linens,Free street parking,Laundromat nearby,Outdoor furniture,Microwave,Hammock,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Wine glasses,Washer,Single level home,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Iron,Barbecue utensils,Private entrance,Toaster",false,false,,Moderate,DOP,18,0,5,4.8,5.0,5.0,4.8,5.0,5.0,4.8,908.0,53505.0,26.5,1583.1,0.09,0.101,2.4,143.7,2.7,160.9,33,39,332,365,0.0,0.0,25.9,1526.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
45090875,Breathtaking & Brand new at La Marina Cap Cana,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDUwOTA4NzU=/original/97798b19-6507-4ab3-9c0a-ab347003517b.jpeg,29,246641852,Beyond Punta Cana,"","",false,18.5040,-68.3870,6,2,2,2.0,false,"TV,Washer,Beach access,Wifi,Air conditioning,First aid kit,Lake access,Pool,Crib,Kitchen,Free parking on premises,Lock on bedroom door,Hair dryer,Hot water,Iron,Dedicated workspace,Resort access,Extra pillows and blankets,Hot tub,Cooking basics",true,false,,Firm,DOP,60,0,8,4.88,4.9,5.0,4.8,5.0,5.0,4.8,17195.0,1013235.0,306.1,18285.0,0.159,0.183,44.5,2621.0,51.2,3017.9,58,48,307,365,1688.0,99455.0,370.6,21837.3,0.056,0.119,18.1,1065.8,38.8,2283.8,5,48,85,90
725209950079881437,"Villa B.Luna, chef, golf car and transport",Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-725209950079881437/original/d002bf5e-9d3c-40ca-94c0-bed83f05f85e.jpeg,43,442609295,Miguel,"","",false,18.4815,-68.4085,16,6,9,5.5,false,"Air conditioning,Washer,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Beach access,Resort access,Patio or balcony,Backyard,Outdoor dining area,BBQ grill,Free parking on premises,Pool",,false,,Firm,DOP,0,0,7,4.86,4.9,4.9,5.0,4.7,5.0,4.9,75577.0,4452914.0,2181.6,130500.5,0.099,0.0,207.1,12199.8,0.0,0.0,36,0,329,365,45824.0,2699900.0,2258.8,133084.1,0.244,0.0,509.2,29998.9,0.0,0.0,22,0,68,90
758633391572530749,Oceanfront Luxury Penthouse | Cap Cana,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzU4NjMzMzkxNTcyNTMwNzQ5/original/8cf41a05-85a9-49e5-bd6b-682843151afc.jpeg,75,430645153,Lisbeth,47551244,Tatiana,true,18.4989,-68.3808,4,2,2,2.0,false,"TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water,Conditioner,Elevator,Bed linens,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Sun loungers",,false,,Firm,DOP,125,0,13,5.0,4.9,5.0,4.9,4.9,4.8,5.0,35705.0,2103839.0,257.8,15401.1,0.342,0.352,90.3,5320.0,92.8,5469.9,125,10,240,365,15580.0,917956.0,352.0,20742.0,0.444,0.5,156.4,9217.5,176.0,10369.7,40,10,50,90
763570102695146185,Ocean Paradise Condo By Ocean,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/442ce3d3-5da5-47ac-ad40-de2f0260cc4b.jpg,40,16206988,Rd International,"","",false,18.6708,-68.4049,3,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Outdoor shower,Free street parking,Coffee maker,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Washer,Dryer,Beach access,Carbon monoxide alarm,Essentials,Shampoo,Lock on bedroom door,Hair dryer,Iron,Private entrance",true,,,Flexible,DOP,60,0,1,,,,,,,,3094.0,182334.0,89.4,5338.9,0.099,0.0,8.1,480.2,0.0,0.0,36,0,329,365,0.0,0.0,91.4,5387.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
807236112446655018,Penthouse White Sands -Punta Cana,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-807236112446655018/original/9df5a9f8-58fd-43b6-8637-c688ad7182bb.jpeg,54,382685248,Berkys,"","",false,18.6952,-68.4446,6,3,4,2.5,false,"Hair dryer,Outdoor shower,Hot water,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Ceiling fan,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Toaster,Blender,Barbecue utensils,Dining table,Beach access,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Hot tub,Pets allowed,Long term stays allowed",,false,,Flexible,DOP,100,0,7,4.71,4.6,4.7,4.4,4.9,4.9,4.6,8358.0,492467.0,119.7,7160.3,0.175,0.204,20.4,1203.9,23.8,1399.5,64,51,301,365,2394.0,141054.0,133.3,7856.5,0.178,0.41,23.3,1370.9,53.7,3163.5,16,51,74,90
818135758232372198,"If you love the sea and the beach, come to this paradise!",Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODE4MTM1NzU4MjMyMzcyMTk4/original/ecb84693-b806-4941-9774-348618ecadcf.jpeg,90,191835349,Rolando,"","",false,18.8521,-68.6249,14,5,8,5.5,false,"Ping pong table,Wifi,Waterfront,Kitchen,Pack ’n play/Travel crib,Board games,Free parking on premises,Room-darkening shades,Ceiling fan,Pets allowed,Hot water,Mosquito net,Bed linens,Free street parking,Outdoor furniture,Hammock,Coffee maker,Refrigerator,Fire pit,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Wine glasses,Beach access,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Lock on bedroom door,Hangers,Dedicated workspace,Baking sheet,Barbecue utensils,Outdoor dining area,Freezer,Sun loungers,Private entrance,Outlet covers",false,false,3,Firm,DOP,70,0,1,,,,,,,,11642.0,722445.0,810.6,48352.3,0.058,0.065,31.5,1956.7,35.7,2218.0,21,43,344,365,0.0,0.0,825.0,48605.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
818189726761807798,Downtown Puntacana Retreat + Jacuzzi!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-818189726761807798/original/72dfa411-55aa-4367-a448-1ed0e8531708.jpeg,44,316096200,Chantal,"","",true,18.6381,-68.3942,4,2,2,3.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Pets allowed,Hot water,Gym,Body soap,Conditioner,Outdoor shower,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Coffee,Stove,Wine glasses,Washer,Dryer,Beach access,Shower gel,Patio or balcony,Shampoo,Dining table,Dedicated workspace,Outdoor dining area,Freezer",,false,,Flexible,DOP,35,0,8,4.88,4.9,5.0,4.9,4.9,4.9,4.9,2368.0,139549.0,130.4,7791.1,0.049,0.0,6.1,359.7,0.0,0.0,18,0,347,365,0.0,0.0,147.3,8680.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
818659258700323630,Vibrant & Centric Hideaway!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-818659258700323630/original/a45f828b-738c-4832-ad35-23eb13c55b40.jpeg,47,316096200,Chantal,"","",true,18.5567,-68.3717,6,2,3,2.0,false,"TV,Washer,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Cooking basics,Dedicated workspace",true,false,,Flexible,DOP,45,0,9,4.89,4.8,4.9,4.8,4.9,4.9,5.0,5174.0,304856.0,125.1,7474.0,0.115,0.0,13.7,806.2,0.0,0.0,42,0,323,365,0.0,0.0,143.3,8443.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
818659263542963859,Centric Luxury Loft/ PC Village,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-818659263542963859/original/9d7cce31-eeff-4b49-a696-36857036ba49.jpeg,31,316096200,Chantal,"","",true,18.5579,-68.3747,6,3,4,3.5,false,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Bed linens,TV,Air conditioning,Ceiling fan,Wifi,Dedicated workspace,Kitchen,Cooking basics,Freezer,Oven,Coffee maker,Wine glasses,Coffee,Beach access,Free parking on premises,Pool,Elevator",,false,,Flexible,DOP,65,0,15,5.0,5.0,5.0,4.9,4.9,5.0,4.9,21715.0,1279432.0,192.7,11502.7,0.255,0.0,54.2,3190.5,0.0,0.0,93,0,272,365,11558.0,680987.0,241.7,14240.7,0.467,0.0,119.0,7013.3,0.0,0.0,42,0,48,90
